"AnnoA","CorsoTIPO","ClasseNUMERO","ClasseNOME","DiplomaTipo","Sesso","nImm"
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Altro diploma","F",2
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Diploma di istruzione professionale","F",2
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Diploma di istruzione tecnica","F",11
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo artistico","F",2
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo classico","F",11
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo delle scienze umane","F",7
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo linguistico","F",5
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo scientifico","F",27
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Altro diploma","M",10
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Diploma di istruzione professionale","M",7
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Diploma di istruzione tecnica","M",46
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo artistico","M",1
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo classico","M",17
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo delle scienze umane","M",6
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo linguistico","M",3
"2023/2024","Laurea - dm 270/04","L/DS","Scienze della difesa e della sicurezza","Liceo scientifico","M",114
"2023/2024","Laurea - dm 270/04","L/GASTR","Scienze culture e politiche della gastronomia","Altro diploma","F",29
"2023/2024","Laurea - dm 270/04","L/GASTR","Scienze culture e politiche della gastronomia","Diploma di istruzione professionale","F",66
"2023/2024","Laurea - dm 270/04","L/GASTR","Scienze culture e politiche della gastronomia","Diploma di istruzione tecnica","F",20
"2023/2024","Laurea - dm 270/04","L/GASTR","Scienze culture e politiche della gastronomia","Liceo artistico","F",5
"2023/2024","Laurea - dm 270/04","L/GASTR","Scienze culture e politiche della gastronomia","Liceo classico","F",8
